DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
59,Chester,S&P,,,,,,,,,,,,,,,,,,,
60,Chesterfield,S&P,,,,,,,,,,,,,,,,,,,
63,Clarksburg,S&P,,,,,,,,,,,,,,,,,,,
64,Clinton,S&P,,,,,,,,,,,,,,,,,,AA+,AA+
66,Colrain,S&P,,,,,,,,,,,,,,,,,,,AA-
67,Concord,S&P,,,,,,,,,,,,,,,,,,,
68,Conway,S&P,,,,,,,,,,,,,,,,,,,
69,Cummington,S&P,,,,,,,,,,,,,,,,,,,
74,Deerfield,S&P,,,,,,,,,,,,,,,,,,,
76,Dighton,S&P,,,,,,,,,,,,,,,,,,,
77,Douglas,S&P,,,,,,,,,,,,,,,,,,,
81,Dunstable,S&P,,,,,,,,,,,,,,,,,,,
83,East Bridgewater,S&P,,,,,,,,,,,,,,,,,,AA,AA
84,East Brookfield,S&P,,,,,,,,,,,,,,,,,,,
88,Easton,S&P,,,,,,,,,,,,,,,,,,,
89,Edgartown,S&P,,,,,,,,,,,,,,,,,,,AAA
94,Fairhaven,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+
98,Florida,S&P,,,,,,,,,,,,,,,,,,,
104,Aquinnah,S&P,,,,,,,,,,,,,,,,,,,
105,Georgetown,S&P,,,,,,,,,,,,,,,,,,,
106,Gill,S&P,,,,,,,,,,,,,,,,,,,
108,Goshen,S&P,,,,,,,,,,,,,,,,,,,
109,Gosnold,S&P,,,,,,,,,,,,,,,,,,,
112,Granville,S&P,,,,,,,,,,,,,,,,,,,
116,Groveland,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
118,Halifax,S&P,,,,,,,,,,,,,,,,,,AA+,AA+
120,Hampden,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+
121,Hancock,S&P,,,,,,,,,,,,,,,,,,,
122,Hanover,S&P,,,,,,,,,,,,,,,,,,,
123,Hanson,S&P,,,,,,,,,,,,,,,,,,,
124,Hardwick,S&P,,,,,,,,,,,,,,,,,,,
129,Hawley,S&P,,,,,,,,,,,,,,,,,,,
130,Heath,S&P,,,,,,,,,,,,,,,,,,,
135,Holland,S&P,,,,,,,,,,,,,,,,,,,
138,Hopedale,S&P,,,,,,,,,,,,,,,,,,,
140,Hubbardston,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,
143,Huntington,S&P,,,,,,,,,,,,,,,,,,,
144,Ipswich,S&P,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA
147,Lancaster,S&P,,,,,,,,,,,,,,,,,,,
148,Lanesborough,S&P,,,,,,,,,,,,,,,,,,,
151,Leicester,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
152,Lenox,S&P,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA
153,Leominster,S&P,,,,,,,,,,,,,,,,,,,AA
155,Lexington,S&P,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA
156,Leyden,S&P,,,,,,,,,,,,,,,,,,,
159,Longmeadow,S&P,,,,,,,,,,,,,,,,,AA+,AA+,AA+
174,Maynard,S&P,,,,,,,,,,,,,,,,,,,
