DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
286,Stow,S&P,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA
288,Sudbury,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
293,Taunton,S&P,A,A,A,A,A,A,A,A,A,A,A+,A+,AA-,AA-,AA,AA,AA,AA,AA+
296,Tisbury,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+
308,Waltham,S&P,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
314,Watertown,S&P,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
317,Wellesley,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,
318,Wellfleet,S&P,A,A,A,A+,A+,A+,A+,AA,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AA+
329,Westfield,S&P,A+,A+,A+,A+,A+,A+,A-,A-,A-,A-,A+,A+,AA,AA,AA,AA,AA,AA,AA
333,Weston,S&P,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
338,Whitman,S&P,A+,A+,A+,A+,A+,A+,A+,A+,A+,A+,AA-,AA-,,,,,,,
342,Wilmington,S&P,AA,AA,AA,AA,AA,AA,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
343,Winchendon,S&P,A-,A-,A-,A,A,A,A,A+,A+,A,A,A+,AA,AA,A+,A+,A+,A+,AA
348,Worcester,S&P,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,AA-,AA-,AA-,AA-,AA-,AA-,AA-
351,Yarmouth,S&P,AA-,AA-,AA-,AA-,AA-,AA-,A+,A+,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
95,Fall River,S&P,,A-,A-,A-,A-,A-,A-,BBB+,BBB+,BBB+,BBB,BBB,A-,A-,A-,A-,,,
117,Hadley,S&P,,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AAA,AAA,AAA
221,Oak Bluffs,S&P,,A+,A+,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+
266,Sharon,S&P,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
330,Westford,S&P,,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
2,Acton,S&P,,,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
4,Adams,S&P,,,A-,A-,A-,A-,A-,A-,A-,A-,A+,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA-
7,Amesbury,S&P,,,A-,A-,A-,A-,A-,A,A,A,A,A,AA,AA,AA,AA,AA,AA,AA
36,Bourne,S&P,,,A+,A+,A+,A+,A+,A+,AA-,AA-,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
102,Freetown,S&P,,,A,A,A,A,A,A,A,A,A+,A+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
113,Great Barrington,S&P,,,A+,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA
115,Groton,S&P,,,A+,A+,A+,A+,A+,A+,A+,A+,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA
133,Holbrook,S&P,,,A-,A-,A-,A-,A-,A-,A-,A-,A-,A-,AA-,AA-,AA-,AA-,AA-,AA-,AA-
162,Lunenburg,S&P,,,A,A,A,A,A,A,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
186,Millbury,S&P,,,A+,A+,A+,A+,A+,A+,A+,A+,AA-,AA-,AA,AA,,AA,AA,AA,AA
192,Montague,S&P,,,A-,A-,A-,A-,A-,A-,A-,A-,A+,A+,A+,A+,AA-,AA,AA,AA,AA
269,Sherborn,S&P,,,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
275,South Hadley,S&P,,,A+,,,,,,,,,,,,,,,,
289,Sunderland,S&P,,,A-,A-,A-,A-,A-,A-,A-,A-,A,A,AA-,AA-,AA,AA,AA,AA,
300,Truro,S&P,,,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
322,West Bridgewater,S&P,,,A+,A+,A+,A+,A+,A,A,A,A,A,AA,AA,AA,AA+,AA+,AA+,AA+
335,Westwood,S&P,,,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
340,Williamsburg,S&P,,,BBB+,BBB+,BBB+,BBB+,BBB+,BBB,BBB,BBB,A+,A+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
54,Charlton,S&P,,,,-,A,A,A,A,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
58,Cheshire,S&P,,,,BBB+,BBB+,BBB+,BBB+,BBB+,A+,A+,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-
79,Dracut,S&P,,,,-,A,A,A,A,A+,A+,A+,A+,AA-,AA-,AA-,AA,AA,AA,AA
92,Essex,S&P,,,,A,A,A,A,A+,A+,A+,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+
134,Holden,S&P,,,,-,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA,AA,AA+,AA+,AA+,AA+,AA+
142,Hull,S&P,,,,A+,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA,AA
154,Leverett,S&P,,,,A-,A-,A-,A-,A-,A-,A-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA
157,Lincoln,S&P,,,,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
164,Lynnfield,S&P,,,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
165,Malden,S&P,,,,A,A,A,A,A+,A+,A+,A,A,AA,AA,AA,AA,AA,AA,AA
169,Marion,S&P,,,,-,AA,AA,AA,AA,AA,AA,AA,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
173,Mattapoisett,S&P,,,,-,-,AA-,AA-,AA-,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
178,Melrose,S&P,,,,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
189,Milton,S&P,,,,-,AA,AA,AA,AA,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
212,North Brookfield,S&P,,,,-,A,A,A,A,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA-
218,Norton,S&P,,,,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
230,Pelham,S&P,,,,-,BBB,BBB,BBB,BBB,BBB,BBB,A,A,AA-,AA-,AA,AA,AA,AA,AA+
240,Plympton,S&P,,,,-,A-,A-,A-,A-,A-,A-,A+,A+,AA+,AA+,AA+,AA+,AA+,AA+,AA+
295,Tewksbury,S&P,,,,-,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA,AA,AA+,AA+,AA+,AA+,AA+
327,West Tisbury,S&P,,,,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
328,Westborough,S&P,,,,-,-,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
332,Westminster,S&P,,,,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
127,Hatfield,S&P,,,,,BBB+,BBB+,BBB+,BBB+,A+,A+,A+,A+,AA,AA,,,,,AA
149,Lawrence,S&P,,,,,,AA-,AA-,AA-,AA-,AA-,BBB-,BBB,A-,A-,A,A,A,A,A+
208,Norfolk,S&P,,,,,,A+,A+,A+,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
209,North Adams,S&P,,,,,,A-,A-,A-,A-,A-,A-,A-,A-,A-,A,A,A,A,A
283,Stockbridge,S&P,,,,,,AA-,AA-,AA-,AA-,AA-,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
326,West Stockbridge,S&P,,,,,,A+,A+,A+,A+,A+,AA,AA,AA,AA,,,,,
1,Abington,S&P,,,,,,,,AA,AA,AA,AA-,AA-,AA,AA,AA,AA,AA,AA,AA
160,Lowell,S&P,,,,,,,,A,A,A,A,A,AA-,AA-,AA-,AA-,AA-,AA-,AA-
206,Newburyport,S&P,,,,,,,,AA,AA,AA,AA,AA,AA+,AA+,AAA,AAA,AAA,AAA,AAA
231,Pembroke,S&P,,,,,,,,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA
234,Petersham,S&P,,,,,,,,BBB+,A,A,A,A,AA+,AA+,AA+,AA+,AA+,AA+,AA+
8,Amherst,S&P,,,,,,,,,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
30,Beverly,S&P,,,,,,,,,AA-,AA-,AA-,AA-,AA,AA,AA,AA+,AA+,AA+,AA+
52,Carver,S&P,,,,,,,,,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA,AA
61,Chicopee,S&P,,,,,,,,,A+,A+,A+,A+,AA-,AA-,AA-,AA-,AA-,AA-,AA-
70,Dalton,S&P,,,,,,,,,AA,AA,AA,AA,AA,AA,AA,AA,,,
72,Dartmouth,S&P,,,,,,,,,AA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
85,East Longmeadow,S&P,,,,,,,,,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
87,Easthampton,S&P,,,,,,,,,A+,A+,A+,A+,A+,A+,AA,AA+,AA+,AA+,AA+
99,Foxborough,S&P,,,,,,,,,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA
111,Granby,S&P,,,,,,,,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
114,Greenfield,S&P,,,,,,,,,A,A,A,A,AA-,AA-,AA-,AA-,AA-,AA-,AA-
